TF-IDF Weight,Word2Vec Weight,BiLSTM Weight,Transformer Weight,Accuracy,Macro Precision,Macro Recall,Macro F1
0.45,0.15,0.25,0.15,0.7093844601412714,0.6886543871252873,0.6726516916473819,0.6795010056923758
0.35,0.15,0.15,0.35,0.7080390178271107,0.6948880211041527,0.6695581797313521,0.6794988505610748
0.3,0.2,0.15,0.35,0.708711738984191,0.6938565740115301,0.6701431244733222,0.6794830887861536
0.35,0.3,0.2,0.15,0.7090480995627313,0.6879638236613403,0.6731409640904829,0.6794511423267018
0.65,0.05,0.25,0.05,0.7090480995627313,0.6840918970438457,0.6755337980306034,0.6794092217302795
0.3,0.35,0.15,0.2,0.7093844601412714,0.6877434985709671,0.6730944573734046,0.6792471397969888
0.3,0.3,0.15,0.25,0.7090480995627313,0.6896779723595182,0.6717641331715901,0.6792058323224626
0.45,0.3,0.15,0.1,0.7103935418768921,0.6837918017085428,0.6755735132221966,0.679152512695814
0.3,0.2,0.3,0.2,0.7083753784056509,0.693057043244374,0.6696355880236351,0.679134896048496
0.25,0.2,0.2,0.35,0.7073662966700303,0.695330412602542,0.668542226787845,0.6790516148561727
0.5,0.05,0.3,0.15,0.7090480995627313,0.6897489503924724,0.6711810437404837,0.6790500480377567
0.55,0.2,0.05,0.2,0.7093844601412714,0.6849041273972455,0.6747111319136377,0.6789394309599316
0.35,0.35,0.15,0.15,0.7097208207198117,0.6850204718929634,0.6742590374325791,0.6788895911349971
0.45,0.2,0.25,0.1,0.7090480995627313,0.6860408334232944,0.6733122394484918,0.6788818068349955
0.3,0.15,0.3,0.25,0.708711738984191,0.6933581091806598,0.6690308256169186,0.6788431236876635
0.45,0.05,0.3,0.2,0.7073662966700303,0.6917538685043991,0.6696609369037505,0.6788159341186036
0.5,0.3,0.1,0.1,0.7110662630339725,0.6809013683583554,0.6769052777516691,0.6786360259723798
0.4,0.3,0.15,0.15,0.7093844601412714,0.6855626292948367,0.6733890610446864,0.6786325648501368
0.45,0.1,0.3,0.15,0.7080390178271107,0.6888002137643366,0.6709023385591195,0.6785279762758777
0.55,0.25,0.05,0.15,0.7090480995627313,0.6819309984285158,0.6761224186770786,0.6785076735947353
0.45,0.25,0.25,0.05,0.7100571812983518,0.6830222957079002,0.6747710797531834,0.6784701933448098
0.4,0.2,0.25,0.15,0.7090480995627313,0.6874524466139281,0.6717259298650957,0.678431829739677
0.4,0.35,0.2,0.05,0.7090480995627313,0.6812820712333132,0.676088134545413,0.6784267081768851
0.25,0.35,0.2,0.2,0.7080390178271107,0.686810496609966,0.6722270099104033,0.6783770513113454
0.25,0.2,0.25,0.3,0.7093844601412714,0.6938639985019521,0.6680891653447147,0.6783509871884532
0.35,0.25,0.25,0.15,0.7097208207198117,0.6872554079476846,0.6716756256083506,0.678309075717777
0.3,0.05,0.25,0.4,0.7063572149344097,0.6972140067372875,0.6663711441753611,0.6782860697551922
0.5,0.3,0.15,0.05,0.7107299024554322,0.6796553461361039,0.6773097185360357,0.678246572673161
0.45,0.15,0.1,0.3,0.7070299360914901,0.6901962287645158,0.6702226967850113,0.6782137080176958
0.55,0.15,0.05,0.25,0.7066935755129499,0.6872348402624336,0.672076749274475,0.6781673987657492
0.4,0.25,0.25,0.1,0.7083753784056509,0.6850928472500812,0.6726887980519831,0.6781317244140197
0.5,0.2,0.25,0.05,0.7097208207198117,0.6824604809181449,0.6745363523640061,0.6781138890338004
0.45,0.3,0.1,0.15,0.7100571812983518,0.6827646359426243,0.6745244231266376,0.6780889822081123
0.2,0.25,0.2,0.35,0.7073662966700303,0.6941304123033709,0.6678126957401977,0.6780842552217743
0.55,0.15,0.25,0.05,0.7090480995627313,0.6820093695632362,0.6747021465843668,0.6780265971764021
0.35,0.2,0.3,0.15,0.7080390178271107,0.6874553819533373,0.6709062577339482,0.6779952882276955
0.4,0.2,0.1,0.3,0.7073662966700303,0.6890255312433722,0.6705595445727779,0.677988808861264
0.55,0.1,0.05,0.3,0.7063572149344097,0.6897048257008993,0.670251793127073,0.6779143657594849
0.3,0.1,0.2,0.4,0.7056844937773293,0.695205477659876,0.666941207467206,0.6778723428738544
0.4,0.3,0.1,0.2,0.708711738984191,0.6845013850917647,0.6730175141420482,0.6778444912727903
0.35,0.05,0.2,0.4,0.7060208543558695,0.6946206008268625,0.6671893044214097,0.6778388723099584
0.25,0.35,0.15,0.25,0.7077026572485705,0.6877332212485227,0.6707136528260939,0.6778097664074507
0.45,0.1,0.1,0.35,0.7077026572485705,0.690766378831222,0.6693792377365682,0.6778042202891683
0.25,0.25,0.3,0.2,0.7080390178271107,0.68977483495707,0.6694259877239701,0.6777896887738591
0.6,0.05,0.05,0.3,0.7060208543558695,0.6899156390503467,0.6699612803435021,0.6777424601126772
0.25,0.3,0.25,0.2,0.708711738984191,0.6884364971031283,0.6699724358114016,0.6776208812183017
0.2,0.25,0.3,0.25,0.708711738984191,0.6912217552821515,0.6684246228825442,0.6776184044624912
0.4,0.25,0.1,0.25,0.7073662966700303,0.6865259618275222,0.6713911960190145,0.6775997566856634
0.35,0.35,0.25,0.05,0.7083753784056509,0.6816008940531598,0.6742326918060121,0.6775841863041298
0.4,0.3,0.25,0.05,0.708711738984191,0.6810862556194702,0.6744077146259674,0.6774447952202148
0.25,0.3,0.15,0.3,0.7070299360914901,0.6887599970096411,0.669676198619859,0.6774267228791959
0.2,0.35,0.2,0.25,0.7077026572485705,0.6873173760101013,0.6703250604539243,0.6774053967948757
0.5,0.1,0.3,0.1,0.7073662966700303,0.685038496229286,0.671391782715103,0.6773711316233253
0.35,0.4,0.2,0.05,0.7070299360914901,0.6800319283675261,0.6751437438510554,0.6773466443869192
0.55,0.05,0.3,0.1,0.7070299360914901,0.6851826054861745,0.6711570553259257,0.6772934465336452
0.4,0.15,0.1,0.35,0.7063572149344097,0.6909547420794804,0.6682517640819949,0.6771686938111467
0.25,0.15,0.25,0.35,0.7063572149344097,0.6948680576107221,0.66585530431509,0.6771593971002013
0.3,0.1,0.3,0.3,0.7063572149344097,0.6936110446530812,0.6662481092101326,0.677115239632883
0.2,0.3,0.25,0.25,0.7077026572485705,0.6899819225339181,0.6681804951808898,0.6770476617658509
0.35,0.3,0.1,0.25,0.7073662966700303,0.6857423942870047,0.6708156515895214,0.6769986177250813
0.3,0.3,0.25,0.15,0.7080390178271107,0.6859165103114359,0.6702576391702066,0.6769052569342091
0.45,0.35,0.15,0.05,0.7080390178271107,0.6772399570630963,0.6769738877880616,0.6768704455722938
0.45,0.15,0.3,0.1,0.7070299360914901,0.684178543928669,0.6711012699315323,0.6768587110155249
0.3,0.35,0.2,0.15,0.7066935755129499,0.6833268818507726,0.6718848526978709,0.6768510884501362
0.3,0.2,0.35,0.15,0.7066935755129499,0.6879339651266494,0.668666191874927,0.6767513980809333
0.25,0.4,0.2,0.15,0.7073662966700303,0.6824675420914754,0.6723928041307641,0.6767399722716563
0.2,0.4,0.15,0.25,0.7070299360914901,0.6859431024525898,0.6700902114295851,0.6766957780000719
0.55,0.3,0.1,0.05,0.7093844601412714,0.6768023279013586,0.6769502725836483,0.6766672705893596
0.35,0.05,0.35,0.25,0.7060208543558695,0.6916241936402348,0.6664446833705362,0.6766415841150507
0.3,0.25,0.3,0.15,0.7070299360914901,0.6861490168873842,0.6694764636935976,0.6765665176047644
0.4,0.1,0.35,0.15,0.7063572149344097,0.6877158005878832,0.668444834050776,0.6765661010171885
0.4,0.05,0.15,0.4,0.7046754120417087,0.6919336939292939,0.6666507447613559,0.6764698831486756
0.2,0.3,0.3,0.2,0.7070299360914901,0.6874292363119033,0.6687084359914117,0.6764687963361452
0.2,0.3,0.2,0.3,0.7073662966700303,0.6894368178478775,0.6676087482910634,0.6764518354633953
0.55,0.3,0.05,0.1,0.7077026572485705,0.6768972002269308,0.6765734162562442,0.6764405250507524
0.3,0.35,0.1,0.25,0.7077026572485705,0.6849460452181112,0.6704151299799833,0.6764317536357589
0.4,0.05,0.35,0.2,0.7053481331987891,0.6899993018401012,0.6669514162663747,0.6764193956810016
0.2,0.45,0.15,0.2,0.7073662966700303,0.6820293257887695,0.6722097712482691,0.6763894640134474
0.35,0.2,0.1,0.35,0.7050117726202489,0.6905301989610623,0.6672052029113273,0.6763892499488801
0.5,0.15,0.05,0.3,0.7053481331987891,0.688416267625819,0.668642885379056,0.6763792876620327
0.25,0.4,0.15,0.2,0.7077026572485705,0.6827628946239139,0.6717322563296539,0.6763720336812216
0.4,0.2,0.05,0.35,0.7060208543558695,0.6884813495388269,0.6688868914455484,0.6763463832341458
0.35,0.25,0.3,0.1,0.7066935755129499,0.6832540528149958,0.6708531729773286,0.6762964978636078
